,Inertie,Procent inertie,Procent cumulat
a1,0.15637221612306593,97.22,97.22
a2,0.004476303749349277,2.78,100.0
a3,4.1917865239588e-33,0.0,100.0
Total,0.1608485198724152,100.0,100.0
