,Inertie,Procent inertie,Procent cumulat
a1,0.18503624566774973,82.73,82.73
a2,0.032981253550966545,14.75,97.48
a3,0.005648788117332453,2.53,100.01
a4,1.859885311277731e-33,0.0,100.01
Total,0.22366628733604874,100.01,100.0
