,Inertie,Procent inertie,Procent cumulat
a1,0.171144354548092,70.21,70.21
a2,0.051371912439857524,21.08,91.28999999999999
a3,0.02061079492528953,8.46,99.75
a4,0.0006213925418567356,0.25,100.0
a5,2.2419048292906237e-34,0.0,100.0
Total,0.24374845445509577,100.0,100.0
