,Inertie,Procent inertie,Procent cumulat
a1,0.2754856084047418,80.78,80.78
a2,0.05323435844207068,15.61,96.39
a3,0.011940005559866877,3.5,99.89
a4,0.0003717445006312502,0.11,100.0
a5,2.4918500222036413e-33,0.0,100.0
Total,0.3410317169073106,100.0,100.0
