,Inertie,Procent inertie,Procent cumulat
a1,0.16723611344814432,65.44,65.44
a2,0.06175631324156892,24.17,89.61
a3,0.026556515109228445,10.39,100.0
a4,1.380410974682162e-34,0.0,100.0
Total,0.25554894179894166,100.0,100.0
