,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
comp1,7.291343369595941,7.291343369595941,31.70149291128665,31.70149291128665
comp2,3.842968690217985,11.134312059813926,16.708559522686866,48.41005243397352
comp3,2.1335417351207124,13.267853794934638,9.276268413568301,57.68632084754182
comp4,1.6729156196892063,14.940769414623844,7.273546172561756,64.95986702010357
comp5,1.3083517305368073,16.24912114516065,5.688485784942632,70.6483528050462
comp6,1.1835374629945867,17.432658608155236,5.145815056498195,75.7941678615444
comp7,1.0303088878738633,18.4629674960291,4.479603860321138,80.27377172186553
comp8,0.8963705173316807,19.359338013360784,3.8972631188333886,84.17103484069892
comp9,0.7401094935293165,20.0994475068901,3.217867363170937,87.38890220386986
comp10,0.6188850616054736,20.718332568495576,2.6908046156759684,90.07970681954583
comp11,0.5444319419650836,21.26276451046066,2.3670953998481856,92.44680221939402
comp12,0.4540304258340776,21.716794936294736,1.9740453297133778,94.42084754910739
comp13,0.33424391189331576,22.051038848188053,1.4532343995361532,95.87408194864355
comp14,0.3109989601696917,22.362037808357744,1.3521693920421356,97.22625134068568
comp15,0.23825564618786998,22.600293454545614,1.0358941138603026,98.26214545454599
comp16,0.13005752209604765,22.730350976641663,0.5654674873741193,98.82761294192011
comp17,0.07828711810853957,22.808638094750204,0.3403787743849541,99.16799171630507
comp18,0.06765530463125596,22.87629339938146,0.29415349839676463,99.46214521470183
comp19,0.050703286916229016,22.926996686297688,0.22044907354882148,99.68259428825066
comp20,0.029241236627020707,22.956237922924707,0.12713581142182898,99.80973009967248
comp21,0.025191876917732763,22.98142979984244,0.1095298996423162,99.91925999931479
comp22,0.014747746170566324,22.99617754601301,0.06412063552420132,99.983380634839
comp23,0.003822453987025645,23.000000000000036,0.01661936516098104,99.99999999999997
