,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23
C,0.6567393478392822,0.5996376006948316,0.3945947001617687,-0.17588687078190313,0.021690393939657417,-0.0582357373001892,0.008615250012919079,0.006446158122925269,-0.006394359261470141,-0.01847085382800067,0.0159084301772864,-0.022512240254001673,-0.019189278335191757,0.0068227432282087705,-0.02572168467810008,0.003595753274681335,0.012290933669951782,-0.06389095629125534,0.00014905736243105144,0.015416820447977504,0.06715683148782953,0.08536572996259366,0.003152213081340946
C_Test,0.5383922961791319,0.2672220119649976,-0.5814399912789547,0.26206425089440155,-0.15164134652765338,0.07532511294566802,-0.054607237475423925,0.033989214868288105,0.04238700981301988,0.11717658875113539,-0.021898328092934984,-0.058337231338123754,0.18546629222321445,-0.25936715498422985,-0.27215999701485344,0.03622544928582515,0.005808605154076846,-0.05128905911923256,0.0022999635379312325,0.0003538573938612618,-0.005574015600709226,0.00035976844264323684,0.0025870194794395058
Html,0.7454223800617747,0.46447950104252406,-0.3189487986162946,0.17243420997128298,-0.07302896110165098,0.06360599924586408,-0.020771802293238408,-0.020407069498791158,0.0877440264051075,0.02588029860417534,-0.12546737402668956,0.09653284837445247,-0.030890453603595564,-0.07339022857213515,0.16287403357513766,-0.0557254171955488,-0.012618866733429246,0.05974798748390741,0.019110428072386554,0.11183622737051906,0.02277092903711374,-0.013522966281990961,-0.014471959478573344
Html_test,0.5152315425768824,0.6878386223375724,0.4152410796981499,-0.21219903149834995,0.047861284453380074,-0.0729713808801562,0.04119177050619825,0.028660416897931015,-0.008578500932677586,-0.010326059271495287,0.085689195456051,-0.056059595884589,0.007795843249251756,0.05040997243209689,-0.09960113654081987,0.038018257223963944,-0.017434697922463376,0.060565933301796555,0.013034352106957296,0.0410110014657518,-0.018501993670132694,-0.0381774835498823,0.03962456888169536
Java,0.7878536909108669,0.5164736292347322,0.19706380966415707,-0.0795296330331472,-0.005084672786555599,-0.09010723147958832,-0.05104955875681612,-0.016984428649379987,-0.022188025759412602,0.007946506286289972,0.00572181765437393,-0.0037662080717560287,-0.006332601364396799,0.023030011627515917,0.11756732553187225,-0.046349489132371524,0.03626507945679157,-0.1836495416787985,0.02041728424402292,-0.017769394739697138,-0.0395632648334542,-0.042275226314534155,-0.008494818898115257
Java_test,0.5915813092077524,0.11013621704223663,-0.5119172949747218,0.20353939029423268,-0.11019885715333766,-0.08452686003174512,-0.0718636427461273,0.003982489112264242,-0.012890211464969683,0.3124954671872044,0.10427860421821813,-0.29322782295860894,-0.11058363072004007,0.3071823139501097,0.019445780222325966,0.08835313362011542,-0.016660417971885493,0.008796773817831853,-0.005399914891671651,-0.007930631681737616,0.0034998494617925506,0.005220679118267684,-0.0028895077849467967
PHP,0.7958004770726913,0.3957987502376957,-0.27145163878767575,0.12622138945181005,-0.07250084214549665,0.06518875878162553,-0.03679608598802127,-0.0351824524072866,0.05704930593817401,0.0076403221118728085,-0.1862515932751244,0.08406332738595652,-0.044101563889230595,-0.10195088365331438,0.18420163369405995,-0.040746938518921506,0.001962267285498125,0.06408708840668012,-0.03233282927746519,-0.09624035337680958,-0.013872250076546248,0.016721260779532707,0.020975469193520526
PHP_test,0.5578893670591107,0.6761634488452141,0.37958677602962837,-0.21729847009786,0.02742287286858908,-0.05259493234716829,0.0362892158574195,0.02422853309431848,-0.011715334745987934,-0.0325076020320935,0.04526342836235652,-0.018506139073373642,-0.001994954166846527,-0.03756889337195671,-0.10516120175761895,0.05625399605950082,-0.02405198055413696,0.10152950036266332,-0.026990600066106627,-0.045334848212882646,-0.01805111169059183,-0.011095092741769074,-0.03862728006839093
InternetPenetration,0.7403553852139222,-0.40062782983063006,0.2576671992838145,0.24542224971145105,0.06814625857557693,0.22796409818466581,0.08339684879094977,0.08562238279423694,0.03725149183129099,0.013103315849589015,0.00683782035490863,0.11043900363935481,0.2310910716929885,0.08917073917856323,0.03940490250560216,0.06698723625675697,-0.03888977426751525,-0.008626445752936597,-0.006805645473225838,-0.03031095596133134,0.09230669076639411,-0.039736201281022045,0.0004217789786305612
InternetUsers,0.7469593562746463,-0.4040359701426006,0.24188984157855517,0.22740320303698824,0.022986500275678945,0.2203114039303015,0.1278868443691409,0.07860932556702005,0.030426718797117624,0.016576275210765348,0.034639682689905985,0.1254181426391486,0.21856514795506735,0.11349843182919231,0.04098459130063269,0.062267276326878986,0.03822508273607214,0.01682225350964425,0.010333175988162208,0.0273678021684775,-0.09108719132197214,0.04177875318207174,-0.0013327616184012814
