,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23
C,-0.14136657992495036,-0.03430173983664868,-0.2990544696628375,-0.43995957722998075,0.7359203078494418,-0.24567034892925885,-0.18447305113556378,-0.11135262783389498,0.032858747658396144,0.18814975054547123,-0.07528088502898322,0.036234607247437885,0.005645499443485387,0.054696546302314554,-0.0015368115941985473,0.010738445311300937,-0.023075075263401412,-0.0008128046272350806,-0.018515366411678624,-0.0008949088770568682,0.0005939972934305908,6.622798727475204e-05,1.8142353484072183e-05
C_Test,0.012360960583393941,-0.04773944052678659,-0.36251043527788285,-0.041821744222305265,0.3445823879219123,-0.10927654933251034,0.2853993892110098,0.0925702621939975,-0.05862458772816689,-0.4150701152000525,0.23617701195465196,-0.13020747759345333,0.03900220625559548,-0.1938375303675188,-0.043343091780513675,0.05333684292394781,-0.11839813092084532,-0.037920557097189896,0.05955906978872288,-0.007135203972160994,0.16738061212734737,0.4914125258533633,0.2507524554436175
Html,-0.11855704293842112,-0.02299399462569457,-0.4092895161861468,-0.2402427844546816,0.6096832889854432,-0.2227720041460023,0.23081946892729577,0.0627683492660429,0.03269120194636725,-0.4051499768162898,0.25750484854209965,-0.026838184258760157,-0.01749797121192373,-0.186748339958815,0.015502213859946927,0.018734137028406796,-0.04641010845336585,-0.10671073973790117,0.006799264350466747,0.0029285641528663292,-0.0029184570456969924,0.0005121460537249367,-0.0010491748484156064
Html_test,0.005836713596867438,-0.004847507754596388,-0.23311890487009787,-0.4589688242832748,0.6937226427514805,-0.2597835873399781,-0.20145757639473874,-0.11583234833867674,0.05208803314021343,0.23997954840400965,-0.12809181541449358,0.016293978612967355,-0.019366731339125497,0.08595043542857662,0.02937709173586231,0.03852259629598208,-0.07836281706231675,-0.00197209182553836,0.1893409754358851,0.002480573694990933,0.02991418610614029,-0.03993576436189374,0.025066232856948988
Java,-0.17260131223081587,-0.11522206616513053,-0.416593681548961,-0.3738219856834095,0.7328545154425222,-0.210877897190796,-0.1027632385010696,-0.06090514338186908,-0.022557116561456304,0.009298006773999496,0.027373992207932428,0.02308329049729034,-0.034622323641191353,-0.03356221489539814,0.013199875218631703,-0.08682433022098865,0.18664867907586113,-0.02128106762784957,0.024671121681386396,0.0009172753799722064,-0.0023481769319158054,0.0018498311117434946,-0.000456649839435723
Java_test,-0.0634048316125466,-0.11899786714714322,-0.39382544242809436,0.060172477142805166,0.33125267897056054,-0.05081137944046623,0.13535032345684575,0.04743170823039327,-0.07037910879705771,-0.3852215452480309,0.1268082256419062,-0.2028102896262925,-0.02082426995567758,-0.19283099918595684,-0.04274218018942313,-0.08073925966002304,0.049275653306735494,-0.11149712021026212,0.07839067405580145,-0.011846190705303792,0.6170553681108084,0.06882636615039486,-0.1644889975799353
PHP,-0.21867713566577876,-0.02389186386421687,-0.40191016231706167,-0.22751247741212782,0.6264144303540411,-0.17948835490010043,0.20686053560557896,0.05383297259572711,-0.01625761069060678,-0.38934012814736313,0.25180555823123457,0.004352315894724936,-0.019494638613177028,-0.197860558961414,-0.010546722558210306,0.007137138920388252,-0.0013323349630552498,0.11373150731785624,-0.009817116174507682,-0.0017151553003650667,0.002244055082364711,-0.0025711796859227004,0.0013300039256932954
PHP_test,-0.039017751839585835,-0.0015163915655365824,-0.23648284939741027,-0.42922090053490575,0.7268179983791174,-0.261490401779993,-0.16285189180857823,-0.10269361339565254,0.0434755316028255,0.20799594764517546,-0.09832863019164381,0.05248429794676771,-0.00863622605616895,0.06023364863020795,0.0154504041085646,0.06174997378571888,-0.11735271799296315,0.0974582172859658,0.18215206049748756,0.014858845628902597,-0.03063544355400814,0.03366055031339449,-0.023254074143766547
InternetPenetration,-0.6404738120491994,-0.013461872667835306,-0.7143876684742482,-0.21549718571130264,-0.13058508639878708,0.04736194758218471,0.01826920571563579,0.0007545899859396899,-0.01672651390092695,-0.0017379439165180895,0.006267798691300538,0.043785503515060296,0.10139130347139919,-0.0028068740387897297,-0.02577216405303391,-4.12310057419588e-05,0.0009592285004651707,-0.0006285111161506927,0.0006971088329603922,-9.29598619772606e-05,4.035366935466002e-06,-2.8076709920562756e-05,-2.260255003489174e-06
InternetUsers,-0.6234613982047686,-0.0041087093528487,-0.7378750500682464,-0.18072965362343316,-0.10880035652684249,0.07688014922233738,0.03965942313412816,0.033757803740891816,0.02760343079851623,0.022973600677134325,-0.004031950864943223,-0.010513392642980792,-0.10775475117428467,0.005026984828433493,0.025299331897404412,0.000452037804077466,-0.001272655771911987,0.0006814597616454037,-0.0006660584105306373,3.5318603020030485e-05,2.3317144188009118e-05,3.720846007989855e-05,-5.533727748882234e-06
UploadSpeed,-0.25277609113553484,-0.09093027809934243,-0.27118582175156297,0.36883833107926123,0.41885219638618754,0.6587616308600782,0.03398249867089542,0.19924800792222955,0.09655137992987843,0.06614622511439787,0.036908663633214274,0.0402893316669651,-0.08449202311202224,0.018652971928241918,-0.20928633909848232,0.002219114935822445,4.8574787054245744e-05,-0.003935554008927918,0.00159143949601257,0.0005405718613144049,-0.00010887402288335937,-9.333247154315154e-05,2.432339431480867e-05
Download,-0.4222500835272064,-0.13395237248172953,-0.4054059190763485,0.3408809775627242,0.33583265080035823,0.5930749483705975,-0.09592058778206466,0.14811032683786746,-0.014515053159607525,0.015596016410698148,0.023994917292859522,0.015972806986734922,0.08838322273511921,0.0036044881866285393,0.13576827054486879,-0.0009276223937179788,-0.0019376215905697255,0.0011725962832900671,-0.0006095750402431295,-0.0003894027849490914,6.903887431925126e-05,1.842617664180918e-05,3.7289708955546056e-06
FixedBroadbandSubscriptions,-0.6844374714986444,-0.003436862884093072,-0.5705869722675663,0.029251189060958936,0.05752835976614999,0.06866801443958094,-0.16032005587799922,-0.0815445146182031,0.03869972207182135,-0.11712963185631015,-0.12548145069276528,-0.361787034050412,0.04500007457777125,-0.003256962477511675,-0.028743481314862263,-0.003633067362367314,-0.0007863552974455013,0.0018206030895258174,0.00012593783366690012,-0.00016099568222618246,-0.0003532130281571201,-2.4890855332809707e-05,-2.981727871961748e-05
ChargesIntellProperty,-0.3023460974639386,-0.9531982139897943,3.5287693077657477e-05,-1.1104826585182714e-05,-1.4850100965809313e-05,-1.8363356148253162e-05,6.52145315623202e-06,9.323220933541e-06,1.0943447868215033e-05,-9.323813647161985e-07,-3.891405147943517e-06,-1.7408724955344428e-06,4.135822269910689e-08,3.463098793151197e-07,-4.217192999737027e-07,8.302713835879681e-08,-3.704407460966095e-07,1.36119744878141e-07,-1.8768146531386602e-08,-9.198526974088339e-10,-2.236496287789896e-09,-5.436512714620445e-09,1.591242400910614e-09
GovernmentExpenditureOnEducation,0.04590268872920858,-0.04014302422686882,-0.16253061282705392,0.06450710026483432,-0.07889913710864899,-0.048713590175555356,-0.23223728005476835,-0.12925593004705443,-0.046457265334045414,0.025638762876331277,0.23665096284982134,0.08387294622672099,-0.03405819367373607,0.007421413952012605,-0.0370368099415303,-0.8584518513610129,-0.28423740491133265,0.01683369749142228,0.002621353446028196,-0.0009499955759807052,-0.0015064599798714337,-0.00015139443135759218,0.00034336887474879297
GrossEnrolmentRatio,-0.3465162516531323,-0.014207351649422972,-0.7420909783253391,0.4902129612171549,0.024421099885014844,-0.2930981092092551,-0.005716675878263368,0.0071768859388178915,0.029229882403335433,0.029345976223186392,0.0019402768603849388,0.020016225704681083,0.001884758831000572,-0.0018604310874391398,-0.0013342409119923826,0.0009532205411119463,0.00027759319089736657,0.00012842335353563367,9.086063649024703e-06,-9.093914641478532e-05,9.065829390190592e-06,-2.053741131845343e-05,1.2620673627392383e-05
