CountryCode,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
ABW,0.07976158958762679,0.32619853262549514,0.6899396158687612,0.47223562557364523,-0.47778951427408317,-0.07274862242145164,-0.8690830856442217,-1.3332771203774822,0.0028672724420455886,1.0749617670766198,-0.4197945501160976,-1.835781206372222,-1.2157952884822294,-0.13127721256974118,0.6895495133735957,-0.09436533820794668,-0.23349999797113657,0.4957559363834116,0.1721129117300352,-0.9278390330128287,-1.0415878070468156,0.9643775570886302,0.0
AGO,-1.0020766154686125,-0.40812979857472637,-0.010210334449149247,-0.3563669590031835,0.07707305511917807,-0.12893894188795635,0.789810288555009,-0.02489301605618346,-0.12228504349100101,-0.01144889279165487,0.16408163896158606,-0.23915180471281536,0.3596111240176614,0.5316333334962485,-0.0857815488384561,0.1153176159810783,-0.3059041252530915,-0.41081547715192795,-0.9300408330791333,-0.18192446144897712,1.0854017365456141,1.1073275533743636,0.0
ALB,0.5054490197754619,-0.5523304528129845,-1.0555886403984835,0.07218774787889864,-1.4157623744572885,-0.067593985613321,-1.1129803166657293,-0.4107333405079187,1.3222547562941276,-0.027652119413329557,-0.7852363192860471,0.9337699362371162,-1.6231825643229278,-0.6896617142258128,0.3631174654843248,0.49921792806701637,0.23405628207135765,-0.3345904462880258,0.44090111530187714,-0.08643741480995859,0.6372740911380144,0.15452242204556502,0.0
AND,0.8495648240942986,0.4550241395343636,1.1810416334280838,0.4376738485373978,-0.4230549410826138,-1.1010232462961183,-0.30594871424339165,-0.4309249867155334,-0.06475992532890154,1.2449770171050378,-0.6472987479922887,-0.1561576542478512,-0.8338667982234047,0.3132109148409528,-0.6486189625644033,-1.6744164893833302,0.7976616645873678,0.33503170937191024,0.09243619665731029,1.1796651180195126,-1.3118879072979723,3.0093650909034073,0.0
ARE,0.5821990889699863,0.43338937186024246,0.13598553172190112,-0.07856640565122396,0.558164111733733,-2.1296556587375797,0.26949062042156446,-0.3507595662081114,0.7756237048015958,-0.1554261669512439,-0.6106342649366086,-2.2395201212980904,-1.0940175793708935,-0.1465850426083046,-0.04697695897576925,1.366928319290889,-1.482407619347772,-1.1917912931788432,1.2755342126694045,-0.7339756838141748,0.07444047013180506,-0.7028407396342471,0.0
ARG,-0.12590836321094423,0.16248224011850526,0.529931915743082,1.3237189231251618,-0.2701219786652445,0.22045270654106588,-0.9970354439081471,0.9752876730430042,-0.19504562114291593,-0.5288255924847374,-0.272772282129966,0.9131116857123782,-0.2509779030540088,-0.7882892541568017,0.21024459621881708,0.2578170840615142,0.1078575623675095,-0.5266206626208801,-1.328487329848574,0.19025416961637817,-0.3999329617391668,-0.18005639204611346,0.0
ARM,3.5245071634507483,-4.211915233407512,-4.828446912018032,2.136464363509773,1.3145773069426572,-2.4782898117574947,1.1917238432173856,-0.14975248901510554,1.5772476125864678,0.5780008560818088,0.4651048675902102,-1.5709961608849548,3.4191754874632827,-0.4398452205680567,-0.0676170124733706,3.054251820955412,-0.9724221221073855,3.9184863449656797,-2.17726822000985,2.581807851792176,-1.5026010531637342,-0.5954253126577315,0.0
ASM,0.3618068938288939,-0.8565778134582991,0.3237090851968045,-0.42552279986945557,0.13830781289417038,0.5526333376546825,0.48725627083921685,-0.1444616441264955,1.017853588278912,-0.14682203765151197,0.1676307051122583,0.9849183235552432,-0.993640870448788,-0.22672213297788715,-2.469967463102198,-2.5286262047111747,1.672336302855599,-1.0392582132846155,0.12124170104580395,1.3873613229980306,-4.553376858947706,-0.5731200970905159,0.0
ATG,-0.08262367044067795,0.1186658168936009,0.27145513403254057,-0.04192642662041888,-0.16858352237847862,-0.5920097200457535,-0.22767217346623086,-0.6488202294300213,0.395492044779027,-0.1905111466997878,-0.7043320213834453,-1.0164522980517212,-1.1797052601012816,0.017045205870779956,-0.5077179338941544,-0.22621569519331017,0.1572559963562738,-0.34121450523096036,0.1081471557725263,0.03340003161077192,0.2639494236294103,0.6920242855541311,0.0
AUS,0.8514152064409709,0.7074546103743331,0.3253454226096564,0.7335304998038317,-0.8745538504847719,-0.8345622369175587,-0.4097805437445691,0.45176317815416767,0.10992533015627076,0.09357326123136706,0.5293608929059219,1.2460209573936585,0.2708679610827412,-1.024047281976606,0.506504531151257,0.16218172307462153,-0.3323835473872584,-0.9431165652502459,0.4407529966544338,-0.18425619929731282,0.21335999366222833,0.3124221396511178,0.0
