CountryCode,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23
ABW,0.9989794108799473,0.0009915648931520652,3.1795981249946136e-06,1.563910422753599e-05,4.135306000237497e-06,3.940259812776064e-06,1.1726602994867752e-07,6.114063138399102e-07,8.489020598564856e-07,2.251471752311044e-07,2.0127754428655596e-08,9.982004965010864e-08,1.4338056777876976e-07,8.549094163277654e-09,7.115265058994547e-10,2.863246437455051e-08,4.693039626005198e-09,7.548912144473111e-09,1.0997421509004076e-08,2.9056625009318573e-10,3.669168070760135e-11,1.4629573402338709e-09,9.861108027325482e-10
AGO,0.9999381359286925,4.74004390784476e-05,1.3267328135684687e-05,8.586139354309709e-08,2.571817124772428e-09,7.908385966269622e-08,3.904136226304055e-08,2.359156730385119e-07,2.9262238510036563e-07,6.428919546025139e-10,4.57966092417511e-09,1.3665534817963984e-08,3.322702344896244e-07,8.5219659745778e-09,8.851143656909311e-08,7.75069565154869e-09,9.695066656818483e-10,1.230637583591717e-09,1.0371506757267345e-09,2.02455332692126e-09,1.3829528589983992e-12,6.035621649650146e-13,1.347294791900892e-12
ALB,0.9999486055799628,3.635372310483422e-05,9.817074967902318e-06,5.702744235851446e-08,1.513001816488764e-10,2.032477694300648e-06,5.80466270619043e-07,5.539420441109505e-07,3.002385806186417e-07,7.527560905826635e-07,2.957420901956797e-09,7.408372032134985e-07,7.210818878498803e-09,1.7858673570093483e-07,4.6607044037783216e-09,3.303334344485979e-09,4.563438896063018e-09,2.3262112958980953e-09,5.839859326317817e-10,1.0820016499789473e-09,2.705265336337588e-10,5.7712387089978324e-11,1.2244773460673488e-10
AND,0.9997788255446567,0.00021903560336534547,8.219949338972678e-07,8.705476496307449e-07,1.3083292353406767e-07,6.131157032760225e-08,4.523734793047812e-08,3.6571702403994153e-08,6.354388213863734e-08,7.53111027550789e-09,2.6885583193625287e-09,5.2460132162427326e-08,4.683588933712499e-09,5.228528589206485e-11,9.811954937652629e-09,5.681478589614732e-10,2.4557634957775682e-08,4.7378039634400724e-11,6.025767601456384e-09,1.362764785343288e-12,3.762091807033307e-10,2.8978296235186118e-12,4.939784347293289e-12
ARE,0.9997770731182614,0.00021901337735638496,2.593358590916547e-07,1.781920633235024e-06,5.003285674935941e-08,8.441259162056233e-07,4.991918509775068e-07,7.61770774391907e-08,1.1724832679430307e-07,5.514219944618917e-08,2.7299398013304333e-09,1.1095035091888328e-07,1.52801753083691e-08,3.6325440607654744e-09,8.283623334679247e-08,1.1320921192479154e-08,3.732857292420021e-11,2.61932147609997e-09,7.855415044081634e-10,3.423294335575617e-11,8.343012396753776e-11,4.1106966942454483e-13,1.9231481033354475e-11
ARG,0.9977812101976734,0.0020223924382301557,0.00011577387537438049,1.2331725139066854e-05,1.729277602790087e-05,3.841167698667599e-05,6.401600307355671e-07,4.5219002026801276e-07,8.14706090412104e-06,1.64176047367075e-06,1.0022997319711153e-07,8.481279321781685e-07,3.5088177815002184e-07,2.804285274816116e-07,2.2677118886449675e-08,2.8067916060620474e-09,1.0161715986163248e-08,4.8615001046144706e-08,1.030973116764746e-09,3.971743614807859e-08,1.4332837707385274e-09,9.130231866221698e-13,2.7695035728660285e-11
ARM,0.9997303958265534,0.00021914552100658511,6.688060661139282e-06,3.3705648271812167e-06,2.0034419575445576e-05,2.2482984632671764e-06,8.585721808594801e-06,1.0066811952120356e-07,1.2387475171214508e-06,3.650065202816335e-06,2.825650472967951e-06,7.478461852604247e-08,1.3427079343921564e-07,9.55864495184456e-07,2.4170073960709203e-08,1.0912534589181633e-07,1.8990678525472165e-07,1.960903927906967e-07,2.9313898939214578e-08,4.464010542664387e-11,2.1527797337693986e-10,2.579267728732265e-09,9.02023621218728e-11
ASM,0.9997742963413653,0.0002190838397147346,2.2083298187195531e-10,3.750468389614257e-08,2.6360666715976215e-06,1.7474391134510435e-07,1.0478867856213602e-07,2.1414819372190673e-08,6.3658858663601475e-09,5.44277222699643e-09,4.909615348929433e-09,3.3369745208608036e-07,2.5529528192649612e-06,5.4439218791618264e-08,3.5047189870655925e-07,3.7228979073837806e-08,2.700742802778718e-07,2.6686626805771967e-08,4.979376308559367e-10,1.6810216310885858e-10,2.081011414079834e-09,9.9282769904248e-13,6.17298236208769e-11
ATG,0.985230523225499,0.014487788454694192,3.242276071842824e-05,0.00015486108071734086,2.2919854693400332e-05,3.522024045599456e-05,6.987331339358803e-07,2.560895057393875e-05,5.027024867395274e-06,2.9355487120652763e-08,1.9566422820590908e-07,1.4227321822948242e-06,1.5869393730786123e-06,1.2877765219764683e-10,2.903887371575315e-07,3.428802326421902e-07,9.462542741153233e-07,9.548163634945603e-08,3.860859455269302e-09,7.432375002964371e-11,1.2442487072704353e-08,2.0611323491459105e-13,3.4718413418087272e-09
AUS,0.9997039576201581,0.00029521091508587477,2.612624326189269e-07,1.187140353915918e-07,1.771372112775353e-08,3.3917255730238827e-07,2.1925627611727933e-08,4.37038379190769e-09,3.8644587160483035e-08,1.2095073184476497e-11,6.889135914943811e-09,1.5003664475415e-08,5.888265585738865e-09,3.608160566071849e-10,4.79601517870186e-10,7.168993196744753e-10,6.033693160537222e-11,2.4022985511835205e-10,3.2638662190470652e-12,2.7025974615970087e-13,1.0715081555667214e-12,2.4571078934401684e-13,5.514996878321388e-12
