,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,7.264493871724442,7.264493871724442,35.34097750381904,35.34097750381904
F2,3.79685823970526,11.061352111429702,18.471304953108984,53.812282456928024
F3,2.1066030145205636,13.167955125950266,10.248395973658637,64.06067843058666
F4,1.534781631223202,14.702736757173469,7.466546749176105,71.52722517976277
F5,1.2716519194983473,15.974388676671817,6.186449141984233,77.71367432174699
F6,0.8946656464366946,16.86905432310851,4.352451670064303,82.06612599181129
F7,0.745239295967912,17.614293619076424,3.625508625766373,85.69163461757766
F8,0.6113187406030264,18.22561235967945,2.9739995987065306,88.66563421628419
F9,0.4297932606029158,18.655405620282366,2.090897758670013,90.7565319749542
F10,0.4023444875949019,19.05775010787727,1.9573624447840117,92.71389441973821
F11,0.3125835814727671,19.370333689350037,1.520685338298718,94.23457975803693
F12,0.2896244061955056,19.659958095545544,1.4089914321150894,95.64357119015202
F13,0.26492744785012634,19.92488554339567,1.288843399133183,96.9324145892852
F14,0.20083128693298447,20.125716830328656,0.9770225040986664,97.90943709338387
F15,0.14028332522469358,20.26600015555335,0.6824632147084402,98.5919003080923
F16,0.08852906102543087,20.35452921657878,0.4306843132336879,99.02258462132599
F17,0.06272402218712672,20.417253238765905,0.30514558842047534,99.32773020974646
F18,0.05026836324143401,20.467521602007338,0.2445501539183776,99.57228036366485
F19,0.04112687433648236,20.50864847634382,0.20007779845273557,99.77235816211758
F20,0.020881446424290486,20.52952992276811,0.10158597988504785,99.87394414200263
F21,0.01740458492990833,20.54693450769802,0.08467142451111838,99.95861556651374
F22,0.008506752916297461,20.555441260614316,0.041384433486217606,99.99999999999996
F23,0.0,20.555441260614316,0.0,99.99999999999996
