,z1,z2,z3,z4,z5,z6,z7,z8
ETH,0.05162027937980833,0.012156223638046132,0.01083461912498894,0.008404465097338039,0.016985470551772006,0.005647842136925384,0.009052500648401636,0.004693916800058335
FIN,-0.08414766650814641,0.07970706384370299,0.00020522788516250757,-0.045679957594564426,-0.031961255840893564,0.04580207087778656,-0.008222254494677714,-0.002760341276186995
FJI,0.03174460541938726,0.027063691732649095,-0.010431617374187917,-0.028249153887181716,-0.003870833541772936,0.030752995664586783,0.012090565441744751,-0.007074615715997232
FRA,0.01986176084338568,0.025600421550511145,0.010143691288398664,0.0032102044795311764,0.015247879305572167,0.01810887281579383,0.007033232169519846,0.0037295249273446196
FRO,-0.07193962810869726,-0.1378996299535511,0.10697862179899031,-0.46103486633226126,0.017432042617421702,-0.22906604374978382,0.10166286958981277,0.8206845394442239
GAB,0.052722863421421774,0.012294869550292,0.01127779723607926,0.008488856880394566,0.016060924229999524,0.007964963602927347,0.007990485961300598,0.005553248009051129
GBR,-0.007505552214937399,-0.01871245720628832,-0.04743747362024073,-0.001305345892176165,-0.010202917678988047,-0.026928198371972432,-0.007457259084853769,-0.014662734721987187
GEO,-0.06532245872216431,-0.04855228275548645,0.03270233032239631,-0.05972018028924398,0.13510388379850444,-0.02995913707875759,0.20816617019413777,-0.10249073733449429
GHA,0.04856079092563067,0.011708830131375882,0.005317646086053431,0.006696427066171443,0.01223478019613778,0.009613628049269534,0.004288318277000834,0.004915183180997984
GIB,-0.06933403047930994,-0.1340343479779127,0.2895996376298489,-0.3153247552664687,0.321644103106144,0.23449797639074232,-0.6305668600780654,-0.10308180507690907
GIN,0.0519319622475031,0.013057120617838727,0.012619992925700159,0.010194976759230494,0.020964629492562094,0.006218043118093724,0.005136183526582347,0.006129512629334269
GMB,0.05165970865287767,0.01253109167859107,0.008664138720474,0.007352688967859509,0.016867203627165706,0.005767691071003018,0.007321829872832185,0.0047452232137992064
GNQ,0.043565031467585766,0.01937162667704037,0.02287758176166741,0.016230613186651668,0.04012297397450747,0.008544390536066511,-0.011599619755474619,0.009338654826706913
GRC,-0.03194392002438579,0.014863879103061264,0.008560813642288865,0.003187824717640674,0.001423476407548262,-0.016974422127219085,0.010522507824934161,-0.016733081123515958
GRD,0.06361065798925603,-0.05040157447575574,-0.05959597113894934,0.06423159863944101,0.04898363887181934,-0.10572137875959604,-0.05293040797343996,0.00992750181186043
GRL,0.03309621602650903,0.0417744412078053,-0.03965891939422202,-0.03431649663774332,0.07762032278808742,-0.050117523823329194,0.010866835728310983,-0.018172758947281157
GTM,0.04344634037004121,0.017210197090760056,0.009995100175095736,0.008045357695286932,0.015707071534943152,0.010566202941352456,0.004748543667220996,0.0058856934653517485
GUM,0.043206834890516785,0.00668250526920212,-0.016995357041457153,0.01292129053510229,0.026789935955768007,-0.03716091928231154,-0.006350626227790791,0.00026659137246855177
GUY,0.03520840343138557,0.01930379947205533,0.02758487755017415,0.0568467178387573,0.03425177422494553,-0.006600377352190486,-0.0196847268803823,0.02721574829341469
HKG,-0.059156023715855106,0.08312217017317781,0.013739022715928226,-0.0365381410307029,0.015545337872995457,0.043994707479426264,0.020120554509938094,-0.008821105643960324
HND,0.04521671134211407,0.016203486043522692,0.009447203677460023,0.009730740149846361,0.009616564641263052,0.0016222315538756988,0.0077945790793665865,0.005139896832890577
HRV,-0.11052395945361425,-0.0812036721588025,-0.013043832574108611,0.022842929586708617,0.07450999511473326,-0.06911128888940252,-0.10198718146178008,-0.023418144552324747
HTI,0.052729291969694565,0.011564154487732937,0.010359753089110463,0.009445999631379633,0.016640892840146602,0.005751146118688441,0.007155538718303347,0.005599437595976992
HUN,-0.05249998608849721,0.04120891665028478,0.03810378525732423,0.009699944102391639,0.0722599386067168,0.038811361195532336,-0.0083253537811717,-0.002023984979529059
IDN,0.04510710670518583,0.00842661287083691,-0.001689733204777594,0.0007192224747310762,0.0053117259692097045,0.022465578389868356,0.0034276337746010563,0.004314271495214732
IMN,0.04119400744386014,-0.04684734546679568,-0.174426725767771,-0.011947131176215086,0.0961372697791397,-0.13050457544873534,-0.0744124799524962,-0.02456641941501066
IND,0.005660528334828105,-0.020947908493771608,-0.019167696906578758,-0.026210922052491103,-0.03574942468730779,0.023075399980172724,-0.014594633919153553,-0.014746994156189401
IRL,-0.09439753324569605,0.02115839153184561,0.09529583563308122,0.07780462354714529,-0.015059328347313185,-0.06717089635413345,-0.059268803342701126,-0.00037474965934359037
ISL,-0.1728565117938494,0.08721478583534281,-0.09443632660014604,0.0193626181284615,-0.13097461723975473,-0.10323471782227042,-0.08838220962326422,-0.00924415048207552
ISR,-0.049019515589083545,0.012833519808794219,0.024171464121537083,-0.037279017924510265,-0.0027426010494802466,-0.07857468446089594,0.08281814974279622,-0.06190268606396396
ITA,0.023739829149588273,0.01906367490907869,0.005673595527075132,0.004120930031848947,0.011652448211859954,0.006316354609929578,0.004067541928228786,0.0009136811439594556
JAM,-0.04436227167575214,-0.019853046924021112,-0.0493548880306237,0.008406463807611227,-0.08565576796862215,-0.1005248639728327,-0.05543127178910327,-0.02139418223663212
JOR,0.017920452913430845,0.013086413650596368,0.0055156063792422255,0.011890324806660248,0.007391575265942095,-0.022638011966871523,0.0010164562217057321,-0.004328653445169377
JPN,0.04569305376428254,0.016661549150824045,0.009769327083487371,0.007686919203542308,0.019012564279406792,0.008448956312317946,0.00849432266851471,0.005576088336920749
KAZ,0.02068807748595644,0.022617274700898016,0.028040018216443918,0.034386495760466415,0.03496303904853325,0.0153488751185073,-0.01665281151418798,0.01907194790741096
KEN,0.026801913007330407,0.009556892764932956,-0.009636370694269385,-0.011516500468735659,-0.02643411669142825,0.030451758785361913,-0.0022306397510097825,-0.0019256010138013811
KGZ,0.022440028144482187,0.01075537433297188,0.008441208181963958,-0.006279088895258612,0.03709645729120099,0.030965477330844465,0.03807207459458472,-0.00716860672386487
KHM,0.04649427217362905,0.008823813402340775,-0.0009408793379134676,-0.001850687695255224,0.01268442766653409,0.014195780922551086,0.007273951189526187,0.0008515667774811517
KIR,0.04852016595942934,0.019153386009809484,-0.0014741077746971733,-0.0012937723966665341,0.03288623924744995,-0.007911891473890076,0.008401026493481513,-0.00014846962255271373
KNA,0.02763861935002845,-0.034101479645372294,0.013694900829613556,0.1336959622686219,-0.03154752779437556,-0.16567739448538862,-0.04574277133081426,0.026249869665582935
KOR,0.048043346632491796,0.015756593509172277,0.012331030757939045,0.010507058986048805,0.01651519685458433,0.0029082678914954135,0.008496073281427553,0.005597625213976336
KWT,0.038202888235012646,0.015146152869117266,0.008939048268152535,0.00020127034714328062,0.009091969336745814,-0.00839846252471095,0.022679207281818436,-0.005611359344854373
LAO,0.05070812249583848,0.013491934705798174,0.012083093939045867,0.010008675636592659,0.01942239295148697,0.005041063189819022,0.005158617403775419,0.005794767325556304
LBN,0.02770053475441997,0.017117531846907903,-0.002766066562016974,-0.0006123361288272158,-0.004412685523135256,-0.0016560868342209358,0.019796968284487102,-0.00373518810127539
LCA,0.02566482461308252,-0.014073147374306628,0.020466021440576517,0.059667750144503075,-0.07742692574388844,-0.01844323999737256,-0.01782875309423655,0.01709526896702248
LIE,0.003442542337959087,0.007938073848029092,-0.09460791614317143,-0.14377795917557903,-0.12453296865438145,0.2282018135143443,-0.0013779066038998558,-0.03157106218187388
LKA,-0.06091065021929919,0.004538799282213189,0.00550034027898074,-0.014559905647225015,-0.1274569410748654,-0.007346806044673969,-0.013520928552721802,-0.02609302008853991
LSO,0.05181750695373806,0.011001710039270628,0.012271347085789941,0.013714357804663775,0.01475078755066995,0.0006207933696596626,0.006340121702550607,0.006464556098252965
LTU,-0.08675509331491656,-0.06181733831847559,-0.08469225656141204,0.09182100273865271,0.002470585752425013,0.12241115096941976,0.016068721191739195,0.06304565635913187
LUX,-0.2605259577174728,0.26964229259996625,0.12454838720511767,0.017631437485101636,-0.15961937821881508,-0.04598280217813936,0.10203636867526247,0.015236203537228096
LVA,-0.08626572859977018,-0.01942666516214089,-0.05358581995004435,0.12519957325176326,0.010197715058487303,0.07187503833785452,-0.020051434979764988,0.07949523001811747
MAC,0.04384996790727905,0.015113314988365191,-0.0017912312597194971,-0.003430476393155384,0.008631614528159817,0.010238728684689767,0.006140539564481979,0.0004625631732486913
MAR,-0.008968097555252946,0.026047077649864057,-0.00809518677163364,-0.030258700475185685,-0.037001236997545414,0.04445849718992876,-0.0002498957296979092,-0.01179760759788451
MCO,-0.1708566255724045,0.13092834891659302,-0.6046237352174839,0.09586263503244767,0.2615795268978459,-0.1195143495219812,-0.10813952172734305,0.10714853188681606
MDA,-0.11561490008060595,-0.003870809306227518,-0.11304574596503039,-0.005049988748499249,-0.017189913036168084,0.06686943152135298,-0.0844873052570319,0.03525623148707164
MDG,0.0490336604096978,0.011761945023264974,0.006765938366647977,0.0038224508577083447,0.014389037605944609,0.014834001604617196,0.004894110106657426,0.004617287021121374
MDV,-0.001275255616396533,0.012235380497502868,-0.06889952580889298,-0.07444517072461518,0.00010835549258060566,0.0654576309346034,0.08245046991894048,-0.0395353059541852
MEX,0.04393978693087958,0.013759674809456742,0.008009087820753233,0.006591140299954477,0.013105224840324559,0.006007700010474679,0.007831974096118108,0.003407996355025412
MKD,-0.17536794694493837,-0.39485896008824745,-0.0799208658451104,-0.2288411337306491,-0.08897439218891531,-0.4198867830140539,-0.06036159789003655,-0.29217863551685497
MLI,0.053465867868543855,0.011801186135978782,0.010935780695533137,0.009472312230728017,0.018220030933791292,0.005756203073602926,0.007578546141502573,0.005708805927819873
MLT,-0.12513355337543647,-0.02268512959034332,0.03153707654393712,0.0021162901175820676,0.027729621920335294,-0.040531606729921676,0.049183597893347114,-0.05858823396436379
MMR,0.052839126955684594,0.01199162020791968,0.01035707673127551,0.009160152416423227,0.017329854108474672,0.006285088201088557,0.007493643325740216,0.005666955821531011
MNE,-0.0771534153769186,-0.16721438460343951,0.023407344989604752,-0.045975455147606085,-0.02687837406932661,0.07625933176026703,0.05405440062142567,-0.06321625456203019
MNG,0.03842702141229469,0.0025478170883917518,-0.0016420336657211332,-0.025467393189704056,-0.0029760515182323693,0.033937767542283975,0.017357966885941836,-0.008409485107108549
MOZ,0.05270890599607169,0.01189565130111946,0.012189580690272156,0.009606052490734459,0.016829486853464547,0.00618474895402154,0.007035514789661038,0.005746755212433537
MRT,0.05266703356822624,0.01139777435316879,0.00858451957297499,0.00763057144197217,0.01675298028332895,0.007423175780255757,0.0069319148167902855,0.0050909401092291
MUS,-0.006372049221438144,0.005560782427465005,-0.00042746141970872445,0.04408123972132722,-0.02761150948082828,-0.00739891259596437,-0.02030712459254175,0.013215639604516135
MWI,0.05342401130502358,0.01134539714248719,0.010168937034470315,0.009453273456634522,0.018072453365002406,0.005585147390864361,0.007131848504320463,0.005644936960156581
MYS,0.01349833957799271,0.025523675198019524,0.008233009777184393,0.019115929295934534,0.011164712086483022,0.004716202643165429,-0.003385202896381647,0.008268080308067543
NAM,0.05053266371992805,0.011478332611778224,0.00977932448834221,0.010433612469038282,0.013029066810652957,0.003547919350947826,0.0062765592131978866,0.005455249900250277
NCL,0.04260306669168808,0.0207576627509419,0.019281948868666132,0.005716535839092054,-0.0018508654535903703,0.012928980857364736,0.012927218906313659,0.004539140585094279
NER,0.05344415365334344,0.01187263972673325,0.010915916059886946,0.009315283625425086,0.018210593291854125,0.00593447642140093,0.007636077659017685,0.005672938621032522
NGA,0.05054928594771508,0.011760081712722375,0.008382846302040026,0.00888034188398845,0.015225289165972225,0.008286966222366422,0.006712204898389205,0.005681816079097396
NIC,0.04207494113080279,0.007858567506699433,0.0022034834202735937,-0.005481342824200444,0.0030375052737972377,0.021258411754373714,0.00240462760175245,0.0015808208992123191
NLD,-0.07874074273283282,0.04952445337189316,0.005582512674788617,-0.06413946673842108,-0.006415557086590457,0.0734451838766323,0.0011868687063062325,-0.018913080815824126
NOR,-0.30720810027435685,0.27683792564437415,0.044185623601785934,-0.09913443764137533,-0.06346687582452876,0.027086340553290653,-0.0252019197638766,-0.03260978056796935
NPL,0.013551835070583234,-0.01829609416691414,-0.04359265231542062,-0.012759087111058557,-0.0250678915640735,0.047515124758895286,-0.015435303210665233,0.0004812260279519996
NZL,-0.03348332044818649,-0.07167943931189741,-0.03524766241264171,-0.08411032803541396,-0.059773618347891855,-0.06308103694325944,0.06823285133971681,-0.08614351346678807
OMN,0.045503819121376105,0.008876979862830368,0.007023482559009989,0.011175558158410905,0.011347331340995777,-0.004930398432754392,-0.0018621776476158592,0.004036870329847294
PAK,-0.009105628556314343,-0.049058090660047675,-0.0927499747355953,-0.06943360087817622,-0.04117049043381631,-0.008225546674924568,-0.011197977510384956,-0.04725657336036846
PAN,0.03132074743875737,0.01642972294615149,0.001425306904178905,-0.005828079476474535,-0.00030922754434078574,0.025274014103858763,0.004447277237295523,0.0008412431425554545
PER,0.04291895947074639,0.016758407169180495,0.010658636313894578,0.007063181863782364,0.011351856907410907,0.01264670182229702,0.008615829647686655,0.005351386152103829
PHL,-0.005963478933133999,-0.04799039204659697,-0.09186222180504898,0.011505101050037388,-0.04670532318550046,-0.07483670004662492,-0.07036422521002374,-0.014013816051292696
PLW,0.08354745694395042,-0.05852767919324865,0.03267772235436739,0.1589174286766032,0.039733265227378765,-0.1572507896738672,-0.04546482632667233,0.041559033953894
PNG,0.05317587475079304,0.012010120754394482,0.011119679609513442,0.009583992558323037,0.01790493091335927,0.0054187340042302235,0.007645936255305238,0.0056918183833177365
POL,-0.015066284230213256,0.02972304935745648,0.03144842732547456,0.03436984831076669,0.03748906384957772,0.03628035965150646,0.0023351946709422285,0.024124597417341215
PRI,0.040029589410683034,0.012895595490761433,-0.0023508885988959625,0.02382298538752907,0.013120224438941805,-0.021431635716842184,-0.0002523480965849291,0.008511058989050442
PRT,-0.07708943464402207,0.04663804860454074,0.017446365509488648,-0.024869838080358943,0.02507187860004758,-0.012805050130669439,-0.007758357112437694,-0.02933664478901035
PRY,0.042934615472897966,0.015821497737554938,0.014414048411836756,0.008238014144078128,0.006382527759807301,0.012568102278381949,0.0028223467240396896,0.0059523612004717
PYF,0.04785319807814618,0.016173675466863,-0.011124710597471483,-0.004975308051040925,0.034156359862637105,-0.00870360904202261,0.004762592246053456,-0.0019325794470379171
QAT,0.024360366545974742,-0.003385137571352282,-0.0055902860204851915,-0.004657530906411712,0.01344699687691761,-0.04512865772782902,0.02280324481518286,-0.0206782156947344
ROU,-0.0917781116864367,-0.01434884884571315,-0.06516278614703443,0.05196525080975016,0.01043249550835469,-0.0002463068922117631,-0.04683991579409793,0.0273069848553923
RUS,-0.054836010013394776,0.008694382178314851,0.05730303095361398,0.03004415528675856,0.11963916167038727,0.012504058786620016,0.04930255825862865,-0.005472406284835747
RWA,0.05227039675127509,0.012241589302381015,0.010528082430855703,0.008408120518934133,0.01588317980357125,0.007119328351327236,0.0076598079181960325,0.005364210536222494
SAU,0.042666191452391554,0.012120132554475173,0.006521844376625097,0.007505028861131082,0.01438977116376741,-0.0056381900542292205,0.006522241658495297,0.0011390923899685362
SEN,0.051785180379335556,0.012192852798097132,0.010488579346937213,0.00796122077582739,0.014371949238077459,0.008175210885134062,0.007645269728267127,0.005460665855586723
SGP,-0.16071010057817545,0.10692195379088887,0.08373243302582868,0.08280440312641335,-0.025364006223953368,-0.06791193750038804,-0.03236877506641575,0.01810274862979042
SLE,0.0535332057094886,0.011272166540023167,0.010874793430887663,0.010107239993141372,0.017785467476364402,0.005421624515236901,0.007192314145569081,0.005882654811782237
SLV,0.027450329511051183,0.013969308962724596,-0.002765295439957577,-0.020494851812601852,-0.01401332786710958,0.02485902041243569,0.03190055459975985,-0.010876293625829979
SMR,0.007505154160622817,0.058657923828616336,0.06268970812406045,0.03169478535854263,-0.025091467903416032,-0.05285904356195513,0.030391713592885578,0.005050796547830707
SOM,0.05282453505912524,0.01173469357593754,0.009338818725247241,0.00862691558025133,0.017996657266267695,0.005358300189247083,0.007115305717605225,0.005259728036092879
SRB,-0.027506452266734416,-0.32083463919710203,0.1360053375502577,0.30752068683381195,-0.34615956941988973,0.12038911603624794,-0.13978833297075136,0.10883129925374356
STP,0.049434691089823256,0.008600537146662342,0.016266757071387892,0.01720673934676785,0.00017655090612718325,0.007168517895360204,0.005286616118182398,0.008175731389666964
SUR,0.06514177693445733,-0.031031636846639305,-0.007695847563663054,-0.0085206218895521,-0.011362487464692301,0.011749185751332759,-0.01669409691226965,-0.0034373605970399483
SVK,0.00015676829357494878,0.009005647116995131,-0.00407557409008319,-0.014087790516834817,0.009308048049347626,0.011680315275288395,0.016733988238259324,-0.014118933047877086
SVN,-0.09125581264495777,0.02047465176528882,-0.03513702856851923,0.08446300100844145,-0.028817356228056906,0.015192189431712804,-0.05413625652755865,0.0489184525361473
SWE,-0.17658165206493018,0.14034443326220275,0.04014224918155282,-0.07414248374621557,-0.00698900786956539,0.011848016587927092,-0.007618969111853041,-0.03751095870608607
SWZ,0.04844964819899438,0.013764310842756743,0.0075794965037435606,0.00841887857127423,0.015168815523085969,-0.0006051432498295072,0.006642478782868682,0.004095282133874079
SYC,0.1032503044828227,-0.12420213748467582,-0.03517418940886547,-0.18900438046824108,-0.10754799261291569,0.12174103554288351,-0.04483680931295528,-0.06759738384474102
TGO,0.051902429737535234,0.012973597626347472,0.010616369855631424,0.00805852280189634,0.016402369434690183,0.0063996249823227965,0.008018006947543264,0.005150342002516277
THA,0.04761850972834365,0.009876344768765567,0.004186123465887493,0.00575069763928353,0.013413414599475005,0.008922177255037723,0.007615583497956011,0.00420451349765663
TJK,0.0485546805228542,0.010556799371162114,0.014221559309072505,0.005763806516520059,0.020500619664999678,0.00798622182464114,0.007732681038887479,0.0024789799602053853
TKM,0.052788312318483764,0.011847767637629094,0.009515006920556448,0.012027388264736863,0.01773974127493629,0.007060948892258463,0.007056701619046782,0.007476540692255865
TON,0.09375805863517057,-0.04394157744809519,0.0225604879303409,0.01786360961995114,-0.0025057202035354722,0.07861567462898035,-0.00603973923486614,0.047153174693032145
TTO,0.0276291731112889,0.012985463784366831,-0.019482707910644756,0.05556910768004485,0.009125505418300801,-0.035885451814031306,-0.0097543196939853,0.023827828529324392
TUN,-0.16757288068889917,0.0715195346032697,-0.0006321545126055819,-0.10064841797326277,-0.1950271088217732,0.07886650830905259,-0.036765391312979,-0.05039986966742315
TUR,0.03728841179041127,0.01706516089153894,0.0094905911963388,0.006855832281128446,0.018952603717129746,-0.0018599175411331962,0.010497767047978692,0.0014138070223667703
TZA,0.05303161537504675,0.01173773934931905,0.010668168287906007,0.009527336388189521,0.017134513674955824,0.0064079765125273245,0.0074343687843562685,0.0058813952052194024
