,R,R2,P_Values
root1,0.7062573771840868,0.4987994828269454,0.0
root2,0.6408849665459977,0.4107335403446646,0.0
root3,0.5397467644036109,0.2913265696841671,0.0
root4,0.4471021400376273,0.19990032362622612,0.082
root5,0.31485065034851456,0.09913093202488257,0.789
root6,0.22452129113467537,0.050409810172781656,0.961
root7,0.19281198906425304,0.03717646312691363,0.967
root8,0.10513285492007607,0.011052917183645762,0.982
