,u1,u2,u3,u4,u5,u6,u7,u8
DMA,0.03949935925725692,-0.004120544794457434,0.015836906615397037,-0.03656241817763686,-0.04896147360305042,-0.0620386194639327,-0.05316381770498641,0.028946605001032612
DNK,-0.16944030559830325,0.13503936069280315,0.025001962599049236,-0.056149121517130585,0.059872108337421126,0.048143969743275845,-0.005127158298888566,-0.02224550656410616
DOM,0.0306908425895489,-0.07711906850419685,-0.04954084423695493,0.03953879173084984,-0.010568447321892417,-0.06855292653279445,0.07254031678502923,-0.034816826343272406
DZA,0.049162523609275754,-0.029422704359863695,0.05131934913520433,0.020756367457773692,-0.06643951146995537,0.0986230556870674,-0.0640501956739806,0.012663051349263214
ECU,0.03742000487584356,-0.016644090308119825,0.017725884083438358,0.0017597470400966095,0.03129967681513279,-0.024884850148596312,0.052603689313552575,0.05557893783921477
EGY,-0.033552069374629484,-0.04211075912826276,-0.052755961955592165,-0.012780451869523172,0.04934243439151071,-0.007311041746631854,0.22765327826125104,-0.05326492368506036
ERI,0.07219439270564657,0.05063092912719109,-0.004197046594084621,0.008427904767585826,0.04658647834631827,0.07894904927798359,0.04881931335921311,-0.1013192619114065
ESP,-0.0911189363421862,-0.03572223607581361,0.001837183364152119,0.06419666395686753,-0.03234360125769049,-0.04579827855443737,0.0016512604657167912,-0.14977684771624403
EST,-0.09343392433146688,-0.03165424073114625,0.044991317577442555,0.0008024735759527367,0.011848072993150398,-0.006514025246520816,0.019452869097170346,0.04214975454949639
ETH,0.059632984749576394,0.038225964605959124,0.025670897403215362,0.005408494856290527,0.0026323683932380606,0.12536943109439944,-0.05860415239457096,0.01503315584866172
FIN,-0.12863743854302442,0.06512864272661797,0.031005640985552762,-0.004043077387064993,-0.039599197735684724,0.0468646895090801,-0.0007979594777995345,-0.026588777757051374
FJI,0.06339426941021589,0.0053559957617202465,0.004298875308783702,0.04263751052745366,-0.06633494267292858,-0.001704987807721308,0.018349895227268098,0.021159876329380288
FRA,-0.08676718546053058,0.08009489812574247,0.06391534563646552,-0.1244211315949746,0.006166585645538593,0.04786376468587597,-0.01161366380057736,-0.1610089003933787
FRO,-0.059866254817951846,-0.0958252838572498,0.04924608720039217,-0.2050379280691424,0.014731123638602319,-0.06383119744180552,0.020308368758878658,0.08507463425821776
GAB,0.050890646514056524,-0.01975550933419836,-0.02609748949991698,0.0990911461062845,-0.036419980963558536,0.012235445662135795,-0.07452206113489268,-0.10880027781695482
GBR,-0.06193433974001307,0.07588269046120334,0.020813815873129343,-0.11673941556520954,-0.029194246987126922,0.009353803062374329,-0.026589141023202124,-0.047251021440823486
GEO,-0.07304804184611663,-0.11598432715366264,-0.026439505591443552,-0.001202349816506756,0.10927012391174777,0.021297226002983224,0.1564277334966344,-0.015563878034859278
GHA,0.0863953076982765,0.07526542662535671,0.06798342568249176,0.0015020794958155192,-0.02251793866303754,0.04897828368092483,-0.016987688013640874,0.05329663198154445
GIB,-0.05112735075457848,-0.0848981423859857,0.13488538694875857,-0.2249873052879352,0.1417389466279623,0.028151493170930075,-0.15826970688737307,0.011297060518058894
GIN,0.07552768903148649,0.055278842381804714,0.029883853089390264,-0.00023054255957868683,0.05695094004207791,0.10728400936440173,0.008395831965713228,0.01994718792051043
GMB,0.08966173112971759,0.03247731596054804,0.02000099738168908,-0.06360918186115375,0.016399524344903698,0.031132376863450117,0.0867679527319089,-0.00519988911070686
GNQ,0.0511514962088319,0.04537980749989936,-0.020752188502367337,0.10904891277413611,0.018946784636883273,0.03632793951696893,0.0341017848922949,-0.04320706232137643
GRC,-0.09491820530865822,-0.10528500031905862,-0.005436652763229868,0.11373304781054554,0.1079279934109949,-0.11054496178466683,-0.022212949269023397,-0.16920328346252336
GRD,0.014063593207453498,-0.026526539438366574,0.06513039549051054,1.3166685287262074e-05,0.0059807196793519755,0.0346756572350511,-0.08185115607750132,-0.011167078875391232
GRL,-0.02796707045519988,-0.023115456285293146,-0.002371907613497358,-0.0544587462437472,-0.0019446872115227443,-0.033769463744270756,0.051337708359617644,0.039977692751939096
GTM,0.13003992997568176,0.07867898705223102,0.02875691252319242,-0.032863501166935975,0.016356505099518085,-0.015019573081592602,0.018431009759935047,0.023937770322504853
GUM,0.019774042707607173,0.00588285589411853,-0.05451192170610585,0.07017463578050666,-0.1631480049445914,-0.015083022967504786,0.05648409294151322,0.03438021381378142
GUY,0.056140918999255864,0.009849005542953619,-0.00032589677309897877,-0.06066566467510671,-0.015248748019379798,0.007171113342926946,0.07806374365280212,-0.006863600854899941
HKG,-0.15584440512402273,0.12066252135012115,0.03818383631460944,0.125209660792688,0.02935110157073479,0.19534829455952724,-0.10675912059563364,0.11832542663032405
HND,0.10325642414731759,0.046502513541214145,0.011837452360144872,0.008450308316814498,0.07582337796477456,-0.09241529190825115,0.00025093786245573466,0.0775138405746226
HRV,-0.05277567875423501,-0.08099384929069661,-0.014194011156382086,0.032648526240567174,0.038743654626444496,-0.08892766468622033,-0.02017415214071845,-0.03360142621006501
HTI,0.12304827061805348,0.08504973836450232,0.0266691861242984,0.018176627834703623,0.13056861876138692,-0.064706867482237,0.15891581817749356,-0.06315378040730428
HUN,-0.03954533687090953,-0.04144495327479063,0.02397820083162983,-0.0067325074234738476,-0.008563115058367389,-0.06858227710935062,-0.04717498352756385,0.03924244960195461
IDN,0.07247255125811805,-0.04921739153884365,-0.03301914842370781,0.06550892729642034,0.037396296123850294,-0.01735005417450423,-0.06179970030629469,0.034435809322312924
IMN,3.7184946819456776e-17,6.448469875148156e-17,1.2470312215870426e-17,6.285822897762104e-17,-3.393162356133874e-17,-3.4243604175469264e-17,-3.062031572313725e-17,3.1116928544457335e-17
IND,0.03455593828834684,-0.09158073297539898,-0.009420847747020443,0.04197924766745744,0.009147748302608795,0.07424429365246052,-0.04827222950238551,0.06745707455127617
IRL,-0.23443961266872448,0.09343046509095183,0.29753873965465716,0.1934234450062938,-0.20081347685279055,-0.3846238685415154,-0.05180996753227616,0.050469646890100583
ISL,-0.17266736445589437,0.13774541273496604,-0.008082689986065554,-0.006618228405469967,0.042805402220841,0.07087547742441816,0.04298421411369438,-0.02015754880119143
ISR,-0.016778913599722726,0.010726195211398129,0.013832028916457847,0.007080841364378433,-0.00742139943038658,-0.08060306904248274,-0.04048209901510039,0.031012314769671624
ITA,-0.0027372575885322697,0.08261041695549913,0.009843607041107766,-0.011786502408852094,0.0058697216244581974,-0.010589886441516979,-0.029424437171803604,-0.06490784687611688
JAM,0.05560058654648537,-0.00019243758876188763,-0.0027322472973189452,-0.016398872803949298,-0.050638862806702004,-0.055089329431151086,-0.022063860448851055,-0.009388021815699773
JOR,-0.022985188025891272,-0.06283371927013033,0.013498147233614782,0.00968832059610178,-0.06039302498032965,0.0702908957344015,0.09583210025062013,-9.350575964809259e-05
JPN,-0.12316952513000452,0.013307645182339792,-0.02814805824954388,-0.032962660718576745,0.08231837953196244,0.036228973548554096,0.09354615360647536,0.059157489890055204
KAZ,-0.01657723851881707,-0.07330691849706535,-0.032393312883581826,0.0654022696472611,-0.06752864967607931,0.0865174114481056,-0.08814734827381204,-0.03108631084402316
KEN,0.0505141741029612,0.017199161290515644,0.015983406522552635,0.031309271298072004,-0.04469898995214562,-0.02850161019327817,0.07480152049729447,-0.0012676815103411455
KGZ,-0.03502996948066982,-0.10203828666673519,-0.015702025503630083,0.12055222195296604,0.014077747662525356,0.0543336576807221,-0.09566970404085656,0.06158746206640592
KHM,0.04194084387075868,-0.047561913889122225,0.008651448675996947,0.1079182249048368,0.06102440747355324,0.09823910062002915,-0.057048782564406375,0.1137286339013512
KIR,-0.006613800568311237,0.06521954055020113,0.07345909034115797,0.1044185870738158,0.02468343846796459,0.00672438986424063,-0.05558094174099915,0.034910344820569726
KNA,-0.009525663104971415,-0.05905607902465937,0.10608756188203841,0.00930464092245805,-0.010226125236727866,0.030004276707178538,-0.15822561258537574,0.067688942769337
KOR,-0.04309633999630524,-0.001900839382604912,0.13842241896964946,0.02712596920009915,0.05351556021283182,0.07053505518835122,-0.2660386324103406,0.017266198408443418
KWT,0.053987547576480596,0.06074219275391713,-0.0994173752545812,0.02735888738510654,-0.18216104770244526,-0.02918319859386904,0.0565327545723346,0.14246080450238238
LAO,0.05541285716211984,-0.027288031560725796,-0.006969357336186465,0.03598213203728301,0.05182214185213826,0.0308910716582051,-0.020285141498045944,0.07505183843139024
LBN,-0.03270570986758067,-0.07124245153326116,0.03849552764466961,-0.13537308582950133,0.04637076622505412,0.0004289475679497453,0.11756121974352245,0.0498165745202029
LCA,0.06541958074203505,0.01652868399597298,0.05216676709009447,-0.08024960583382243,-0.055675765592838745,0.0038010459653149194,-0.1074389473356786,0.0364324363807996
LIE,-0.07761792436592675,0.10615944998170769,-0.44771000811893863,-0.051445816946341066,0.06143329615772712,-0.03615727396674494,-0.15255739377385236,0.05783502934891366
LKA,-0.007214697632047249,-0.09754537392197567,-0.0006309468907021827,0.011318370333380717,0.01360586278467238,0.11297365097071313,0.1014837561173113,0.06396755225559278
LSO,0.047603852883318275,-0.002577972614837561,0.01852122599596407,-0.004037710020237536,-0.081889152888293,-0.06648562534013755,-0.15000662952369576,-0.12162269432543474
LTU,-0.1311137466681682,0.03106632590372028,0.002431344603031585,0.05136553643085086,0.12188300781952688,-0.019010292666442156,0.0690526431235924,0.005745927476131578
LUX,-0.17519457228676477,0.2854888406034033,0.07395983518243121,-0.03335432506179252,-0.20139295244869418,-0.0431208899674098,0.05930250846221474,0.034161534968513874
LVA,-0.10654487367714378,0.016991152779376236,-0.0025879595860490456,0.04967306949983195,0.07211493111885062,-0.0410456293222337,0.06088755526511571,0.019937833217510026
MAC,-0.022236609419834512,0.07073517884567115,-0.13540052028787836,0.030429074334483,0.06991245599386502,-0.010394628182831909,-0.07031757134143922,0.12597069158928056
MAR,0.02208427015047668,-0.03667041867959969,-0.021331709464370047,-0.02960865102966424,-0.09988680638474294,-0.009809182373397585,0.08289369867122569,0.00362968320033875
MCO,-0.0811153935449538,0.14184657605142173,-0.5435601604454187,-0.030560147077669995,0.11500036112130536,-0.028899748922293092,-0.19411690679176621,0.04735485305227305
MDA,-0.07064244489927908,-0.0987432202602233,0.03550218064576297,-0.004626884657675567,0.039062926983643255,0.03875671711917762,-0.030789211300592593,0.12065837331332019
MDG,0.10231044227888415,0.08415563484804897,0.021454394278894732,-0.010475535848837312,0.05048817012006324,0.05612905171169592,0.037414449387495816,0.01697371675082248
MDV,0.011986186488279264,-0.026991072212917112,-0.007408442838880262,-0.03246110770913204,-0.12848997517600916,0.05593649882455925,0.01109600226189789,0.032323614790494636
MEX,0.042049963519525405,-0.05283808792152481,0.016424110184583843,-0.04105409359068851,-0.03549427576346862,-0.012295587927097746,-0.011626672342084704,0.034199654477206846
MKD,-0.054327250004980315,-0.21161290224639825,-0.06132444869600545,-0.03162038175391993,-0.06896337119454571,-0.07426425707100832,0.009848293524303178,-0.10095503758273977
MLI,0.04299096386121609,-0.001936397998888146,0.024102609500947524,-0.0043857047970368695,-0.00865888557426052,0.1264592916578381,-0.029922282065054345,-0.003858727566999261
MLT,-0.030561578173395332,-0.0026248553082378703,0.0600660085538865,-0.12158746742623766,0.06678386371630886,-0.10629002662171687,-0.1194575804693514,-0.04134890109389695
MMR,0.09908663697644385,0.034110971757830226,0.058323851439301265,0.0037805394356358935,-0.036737908375828326,0.1355130933195508,-0.030693262655780942,0.045521457010980405
MNE,-0.05075490125486455,-0.15990708323275646,-0.030222880267598118,0.019368312991767028,-0.038883005109880735,-0.025880102562959677,-0.06554621006368751,-0.0611240929557196
MNG,-0.020571895601844168,-0.008870261906516694,0.004961581485966481,0.1478939373875273,0.14673742569894932,0.03727738298679106,-0.002125865599036892,-0.025245080684898533
MOZ,0.027017472689883842,-0.05034427698870281,-0.031600328538428896,-0.018507565447799166,-0.013668378184898147,0.03527677695624835,-0.00010587304275396646,-0.196013458699425
MRT,-0.019534801625297353,-0.127308086449954,-0.08658186982758777,0.038900207844059856,-0.09020934475993318,0.11847978577952441,-0.03092142923670821,-0.24380040203802716
MUS,-0.01904105569006872,-0.07946566972918741,0.021843136982160616,-0.007771040709135462,0.008317600602561906,0.03039419889944935,-0.05547362007039384,0.08137420105573685
MWI,0.06859236339077536,0.02626615296553173,0.03611412573138731,-0.06771983111936741,0.018600646782134397,0.05644038662061696,0.0087361014747978,-0.01633497275111996
MYS,0.04855229246296331,0.05526947393874748,-0.006761121770168407,-0.05118936946944205,-0.0394084962919674,-0.04782834992721607,0.09370769552509566,-0.07952675573143693
NAM,0.08629227160870531,-0.014272078501121954,0.0029597414624446777,-0.07134098064924548,-0.0498252889642899,-0.06513597831608793,-0.0647070741189539,-0.10762855813394452
NCL,0.02939352942436857,0.01408555293715813,-0.07848634707999116,-0.04934023632074735,-0.025650737028591487,-0.0708263895548641,-0.10815903781758592,0.015951035474509306
NER,0.08772254744274056,0.06458140215762508,-0.022387641612468073,0.011187996872199318,0.03991038474458113,0.07435173314270965,-0.06869840631661317,-0.24438076446653137
NGA,0.0725765886106142,0.014169062251042589,-0.004988512014088454,-0.033161965372743955,-0.10152999928794584,0.040476620851686754,0.07389127553272529,0.0313759608479612
NIC,0.06405635449831487,-0.002530972425874083,0.017827582569788534,0.05395950741652104,0.08999317966620252,-0.03702696509234921,0.02972625708764491,0.048945468382477014
NLD,-0.14699058775877502,0.09824214548351055,0.10162857691189998,-0.025982437785005648,-0.02305830634441175,-0.050384244051935555,-0.021393432523378955,-0.027245290040216245
NOR,-0.1334864240468325,0.23910675216649982,-0.02895029484791766,-0.06272922541825475,0.0030614718155657626,0.13311494785938596,0.008499080358430593,-0.07638815983042768
NPL,0.03443222685481937,0.0244438528561187,0.0374319504227566,0.001112303410011075,0.012623242863818194,0.10727998619176621,0.006830649372588856,0.05476611906602177
NZL,-0.08062078308334024,-0.01610935625036732,0.002496248608842563,-0.006018099977440702,0.05109738048479995,-0.0721250724235586,-0.019054098648545924,0.06855830570645692
OMN,0.0641452741224338,0.011366614745183037,-0.03649289501472156,0.019200870868994545,-0.19843891833574204,-0.05801280744872855,-0.027734734534871925,0.08337036542025845
PAK,0.012462108354460443,-0.1200835082625323,-0.027321588291643367,0.006854248507066415,0.021782299646295834,0.12820097322136492,-0.006176077369320382,0.06385865422889196
PAN,0.06330446671705695,0.04786335214576595,0.023240508128215844,-0.022012501314477913,0.010207900434794527,-0.02651594231299481,0.10364324208139639,0.059253596903660735
PER,0.04538433394853981,0.01668240100101148,0.007878605077437791,0.025759432689009095,0.05036232345838202,-0.03963790729466842,0.1030336656501812,0.05464762701477071
PHL,0.03239683870951229,-0.06859806360162908,-0.06265068099608974,0.05665816950781181,0.030354301969569508,-0.001907086637140595,0.09153965875785769,-0.19238986036719738
PLW,0.0071926686538137975,0.03269029977476588,-0.007827890356651105,0.12470754183763941,-0.04077422438397802,-0.037521379646246335,-0.024544928693972703,-0.03789131715772772
PNG,0.06638306716047221,0.11763734390149937,0.06980885691623961,0.07337771835988027,0.10605868173100966,-0.014352841967490886,0.020592298404245656,0.03514189995544488
POL,-0.03776986954289465,-0.039371303502581605,0.024269827981556878,0.056090951569347874,-0.014819561379186587,-0.028411279955890368,-0.030570505468473178,0.016276069413097612
PRI,-0.044106466582100684,-0.045782205649564776,-0.04249953829873679,0.10249016946754798,-0.04839996747194622,-0.10386227655263156,-0.02456288650185658,-0.016596475384833644
PRT,-0.044527176980573714,-0.04321949483517538,0.03272905881337214,0.01212547831161226,-0.018169793851517718,-0.047213600875195716,-0.05855620840389589,-0.011978883593567883
PRY,0.07942850507897507,0.042364184564902915,0.027274750745669075,-0.009705797255338733,-0.001194046922143529,-0.04155834756176569,0.07431028784104847,0.03250266789052975
PYF,0.030206827654746544,0.009627364412572772,-0.010430869783184828,-0.027314262812942428,-0.022393273274390807,-0.0540584554221951,-0.06536174597672947,-0.0036949341562545366
QAT,-0.017774452740343213,0.052579189757279605,-0.2067606818060894,-0.021184370924662563,-0.18086447243689344,0.07358028460832114,0.08652306814076695,0.17149137168997514
ROU,-0.07236925393029572,-0.0671815533131983,0.010392335798661353,0.12364324891394382,-0.02334135229924593,0.03021235878756638,-0.054785857016389175,0.0879101757530663
RUS,-0.07004937812247523,0.016518423224408576,0.06740811520291996,0.041770107051306155,0.053919240084430886,0.04189392817501024,0.1267415435630624,0.013194685125829782
RWA,0.12275354988957055,-0.009551969937752997,0.006799480033566086,-0.013470983660375052,0.02749583462598429,-0.030826861327887978,-0.07177403752899185,0.06670497563127994
SAU,-0.06338980175998282,-0.04933549470231854,0.015552622536814002,0.03173406471760154,-0.03954522108757613,0.06470530970091273,0.12892273436325338,0.07062594974674469
SEN,0.06404632419690473,-0.04082190815749178,-0.04351249100153085,0.02362762847465728,0.0037267320363869177,-0.06891420018335895,-0.05780669317636168,0.05264615999972967
SGP,-0.23016147384095154,0.11427786753788854,-0.02401059102917786,0.1257300640636829,-0.010062500956815486,0.06964664848151707,0.14885787431847763,-0.034753283601150785
SLE,0.012240711391700286,0.021221649478764582,0.0810220532830753,0.0018149351554043712,0.1955685154146436,0.08304984139683261,-0.0036121471388807754,0.010480506525261987
SLV,0.09355985554867564,0.01570714468311319,-0.016532022834487382,0.03279849692263811,0.05241122628486795,-0.0707528164664709,-0.049263639912252154,0.04814517736377964
SMR,-0.06719696082631511,0.0014405356492694363,-0.054139916385007446,-0.07707390722355013,0.2421709188128341,-0.03339809893786149,-0.018035086110632613,-0.028761611160681703
SOM,0.0585751542038922,0.05394201049057885,0.017926642470602144,0.10291723971871952,0.10788002256679972,0.04040944409025718,0.06283291531379487,-0.06863310038911438
SRB,-0.06652529711428953,-0.19456505308269648,-0.020484666537047433,0.062169797521610635,-0.08684307979784284,0.007286192547951156,-0.09809960197829518,-0.04612161274415232
STP,0.01406075810021621,-0.01023464639476368,-0.010509181821643903,0.012961121923563192,-0.05382420507619112,0.11319103190286192,0.029233410373005968,0.015789819705978356
SUR,0.09832584989089702,-0.03716410078416921,0.00046401594098390264,-0.08588926241389701,0.01785342793293054,-0.07406987130104244,-0.03799107258013124,-0.09722196655594437
SVK,-0.056870541272644605,-0.031345909133638356,-0.009795909016164568,0.007315286279242224,-0.10063408638442208,0.004464854650247567,-0.035057912815250246,-0.0036153182108338427
SVN,-0.097110971930693,-0.017183402634124514,0.03906090555373576,0.026774576014735738,0.024960210472753718,0.009199182076444223,-0.015019816007083114,-0.0012920408153799165
SWE,-0.14439193926881486,0.13824083743830393,-0.007706513957228349,-0.03563915944412746,-0.03838166983589679,0.05020063209087443,0.026944424303943816,-0.028964465867467617
SWZ,0.018337901739593685,-0.05609574465327412,-0.01886473351820616,-0.0599470155010958,-0.08393530118634054,-0.007690701061015235,0.019990335935158428,-0.10604124665396739
SYC,0.028260861997066136,-0.024065696128022552,-0.01679324187001592,-0.13113492010285913,-0.06416973925113621,0.025221753020907154,0.04605957835799765,0.021600820692956758
TGO,0.06919734130141282,-0.032759917099749306,-0.011530586159745499,0.004359875207329994,0.09072475651607935,-0.017832042910325457,0.006920503733297791,0.051537098106776
THA,0.023173130478814568,-0.0044419474617519725,0.046566464452005796,0.08231008355221309,0.02490898884418923,0.046880886376917605,-0.003642196549341884,0.012124032733356906
TJK,0.046457900147795536,0.04260193244880006,-0.062032922973189276,0.10545793761838235,-0.00261328188788764,0.055593676025117854,-0.05631465608872522,-0.20342376366744103
TKM,0.051380008387285535,0.02065362313236432,-0.014414787314469324,0.015241639912451707,-0.019673616384686485,0.07608955545693168,0.02780619022270486,-0.04605787737299641
TON,0.07128369948404,0.03738284268467277,0.0077758570584316785,0.08977636582379657,-0.08850200396844275,-0.02473554787731178,-0.04850367828324065,0.038720775011264696
TTO,0.04746408579315849,0.045601088461097575,0.0038120181673962712,-0.04208568989820556,-0.010884061138532797,-0.08270564140796319,-0.009774813584893238,0.11160226905599419
TUN,-0.02738680371531123,-0.049789323723444,-0.0040361709424251236,0.016094093626241247,-0.05555985350105231,0.04792494283979585,0.0701166493215916,-0.024629241808011758
